parastatal,year,capital expenditure,recurrent expenditure,allocation
OFFICE OF THE SECRETARY TO THE GOVERNMENT OF THE FEDERATION,2018,,,81877053810
SPECIAL DUTIES & INTER - GOVERNMENTAL AFFAIRS,2018,,,
FEDERAL MINISTRY OF AGRICULTURE & RURAL DEVELOPMENT,2018,,,172796092743
"FEDERAL MINISTRY OF FINANCE, BUDGET AND NATIONAL PLANNING",2018,,,2247577377798
"FEDERAL MINISTRY OF INDUSTRY, TRADE AND INVESTMENT",2018,,,95372284173
FEDERAL MINISTRY OF LABOUR AND EMPLOYMENT,2018,,,17494584056
FEDERAL MINISTRY OF SCIENCE AND TECHNOLOGY,2018,,,75677747631
FEDERAL MINISTRY OF TRANSPORT,2018,,,278825582503
FEDERAL MINISTRY OF AVIATION,2018,,,
FEDERAL MINISTRY OF POWER,2018,,,590087014099
MINISTRY OF PETROLEUM RESOURCES,2018,,,74090670305
MINISTRY OF MINES AND STEEL DEVELOPMENT,2018,,,23461575245
FEDERAL MINISTRY OF WORKS AND HOUSING,2018,,,
"NATIONAL SALARIES, INCOMES AND WAGES COMMISSION",2018,,,955032005
FISCAL RESPONSIBILITY COMMISSION,2018,,,534574479
FEDERAL MINISTRY OF WATER RESOURCES,2018,,,103061481688
FEDERAL MINISTRY OF JUSTICE,2018,,,24467880728
"INDEPENDENT CORRUPT PRACTICES AND RELATED OFFENCES
COMMISSION",2018,,,6280856777
FEDERAL CAPITAL TERRITORY ADMINISTRATION,2018,,,40297122872
MINISTRY OF NIGER DELTA AFFAIRS,2018,,,127229020657
FEDERAL MINISTRY OF YOUTH & SPORTS DEVELOPMENT,2018,,,116220852559
FEDERAL MINISTRY OF WOMEN AFFAIRS,2018,,,6238300228
FEDERAL MINISTRY OF EDUCATION,2018,,,605795857907
FEDERAL MINISTRY OF HEALTH,2018,,,340456412880
FEDERAL MINISTRY OF ENVIRONMENT,2018,,,27369935624
NATIONAL POPULATION COMMISSION,2018,,,10806046852
,,,,
PRESIDENCY,2017,,,
MINISTRY OF DEFENCE,2017,139294920350,330543309223,469838229573
